Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.48,10.71,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.49,10.79,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.45,10.72,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.58,10.70,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.55,11.94,-,No,,,,-,-,0.6,-22.7,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.08,14.20,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.30,15.82,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.06,14.37,-,No,,,,-,-,2.3,59.5,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.69,11.68,-,No,,,,-,-,1.3,26.8,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.26,13.84,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.95,12.64,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.60,10.68,-,Yes,,,,-,-,1.1,5.9,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.61,10.69,-,No,,,,-,-,1.0,-1.1,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.07,11.33,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.89,11.49,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.93,11.49,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.90,11.41,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.95,11.43,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.47,10.75,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.03,11.31,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,8.97,11.25,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.01,11.31,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ontario,Ontario,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.01,11.37,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,7.05,14.19,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,6.84,14.56,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.1,per 100,9.19,10.99,-,No,,,,-,-,1.0,-5.2,-,-,-,-,-,"October 20, 2025"
