Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Alexandra Marine and General Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.37,12.65,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Bonavista Peninsula Health Centre (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.57,15.26,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Bow Island Health Centre (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.71,15.05,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Campbellford Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.59,12.27,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Charles S. Curtis Memorial Hospital (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.20,12.66,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Charles S. Curtis Memorial Hospital (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.41,12.51,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Children’s Hospital of Eastern Ontario (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.23,11.47,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
CISSS des Îles (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),CISSS des Îles (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.31,12.73,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,"Data previously attributed to CSSS des Îles (Que.) will now be attributed to CISSS des Îles (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
Cornwall Community Hospital (Ont.),Ontario,East Region (Ont.),Cornwall Community Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.58,11.15,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Coronation Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.19,16.07,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Eagle Ridge Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.43,11.25,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Espanola General Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.71,13.46,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Fraser Health (B.C.),British Columbia,Fraser Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,10.11,10.54,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Hamilton Health Sciences (Ont.),Ontario,West Region (Ont.),Hamilton Health Sciences (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.95,10.56,-,Yes,Below average performance,No change,Not a top result,-,"4,111.3",Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Hamiota District Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.28,15.88,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Health Sciences Centre Winnipeg (Man.),Manitoba,Shared Health Inc. (Man.),Health Sciences Centre Winnipeg (Man.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.83,10.79,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Hôpital de Mattawa Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.17,16.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hudson Bay Health Care Facility (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,5.12,18.40,-,No,Same as average performance,No change,Not a top result,-,10.1,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,10.00,10.52,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Kelowna General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.81,10.73,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Kings County Memorial Hospital (P.E.I.),Prince Edward Island,Health PEI (P.E.I.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.73,13.50,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Labrador Health Centre (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,8.42,12.51,-,No,Same as average performance,No change,Not a top result,-,94.3,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.03,11.68,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Lakes District Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.98,14.59,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Lloydminster Hospital (Sask.),Saskatchewan,North Central West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.11,11.67,-,No,Same as average performance,No change,Not a top result,-,237.5,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
London Health Sciences Centre (Ont.),Ontario,West Region (Ont.),London Health Sciences Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.93,10.59,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Muskoka Algonquin Healthcare (Ont.),Ontario,Central Region (Ont.),Muskoka Algonquin Healthcare (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.37,11.25,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Nanaimo Regional General Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.76,10.92,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
North Bay Regional Health Centre (Ont.),Ontario,North East Region (Ont.),North Bay Regional Health Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.52,11.10,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
North Shore Health Network (Ont.),Ontario,North East Region (Ont.),North Shore Health Network (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.57,13.61,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.93,10.76,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.92,10.75,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Northern Haida Gwaii Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,5.45,17.54,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.81,10.78,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Northern Lights Regional Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.15,11.47,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Peterborough Reg. HCtr Corp. — Peterborough Regional Health Centre (Ont.),Ontario,East Region (Ont.),Peterborough Regional Health Centre Corporation (Ont.),Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.72,10.84,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,"Peterborough Regional Health Centre (Ont.), Peterborough Regional Health Centre — Peterborough Regional Health Centre (Ont.) and Peterborough Regional Health Centre — Rogers Street Site (Ont.) have reopened as Peterborough Regional Health Centre (Ont.) as of June 08, 2008. ","October 14, 2025"
Providence Health Care (B.C.),British Columbia,Vancouver Coastal Health (B.C.),Providence Health Care (B.C.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.87,10.82,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Riverside Health Complex (Sask.),Saskatchewan,North Central West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,5.87,16.69,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Rock Lake Health District Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,5.12,18.37,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Rosetown and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,6.61,15.36,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Rosthern Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.71,13.53,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Shared Health Inc. (Man.),Manitoba,Shared Health Inc. (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.83,10.79,-,Yes,,,,-,-,Not applicable,-,Not applicable,"Diagnostic Services Manitoba (Man.) has reopened as Shared Health Inc. (Man.) as of April 03, 2018.","October 14, 2025"
St. John Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.49,13.84,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
The North Island Hospital Comox Valley Campus (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,9.42,11.24,-,Yes,Below average performance,No change,Not a top result,-,459.1,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Three Hills Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.3,per 100,7.13,14.38,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
